"Month","Tmin","Tmax","CP"
10,-19,3,0.398235365320642
10,-19,4,0.412844350298328
10,-19,5,0.459616462308602
10,-19,6,0.454104287097155
10,-19,7,0.479879289099921
10,-19,8,0.512124105837213
10,-19,9,0.476372988943607
10,-19,10,0.500400829395978
10,-19,11,0.515512998882322
10,-19,12,0.54212585923698
10,-19,13,0.495279087078192
10,-19,14,0.473195600060371
10,-19,15,0.448946550567594
10,-19,16,0.418117779949453
10,-19,17,0.446080255041647
10,-19,18,0.478555891775016
10,-19,19,0.484224500415848
10,-19,20,0.375052682741822
10,-19,21,0.298755971455016
10,-19,22,0
10,-19,23,0
10,-19,24,0
10,-19,25,0
10,-19,26,0
10,-19,27,0
10,-19,28,0
10,-19,29,0
10,-19,30,0
10,-18,-15,1.50872370822373e-13
10,-18,-14,8.26596119417887e-13
10,-18,-13,4.6559774790948e-12
10,-18,-12,2.64477328632121e-11
10,-18,-11,1.50187859262564e-10
10,-18,-10,8.48677982784578e-10
10,-18,-9,4.75871177660798e-09
10,-18,-8,2.64440410722876e-08
10,-18,-7,1.45458382257505e-07
10,-18,-6,7.92422918146932e-07
10,-18,-5,4.24484115300305e-06
10,-18,-4,2.24103003730396e-05
10,-18,-3,0.000116549652368323
10,-18,-2,0.000596408491298105
10,-18,-1,0.00299318721824238
10,-18,0,0.0145394037163298
10,-18,1,0.0645573619035988
10,-18,2,0.215001777595768
10,-18,3,0.407907443045515
10,-18,4,0.423605787928256
10,-18,5,0.470973978412586
10,-18,6,0.473404184210466
10,-18,7,0.494298508035229
10,-18,8,0.518688311746659
10,-18,9,0.495341438470359
10,-18,10,0.511845599112105
10,-18,11,0.532930943978802
10,-18,12,0.553752602054377
10,-18,13,0.488471293325772
10,-18,14,0.485302640301401
10,-18,15,0.433255645774553
10,-18,16,0.452063697767341
10,-18,17,0.479804003468884
10,-18,18,0.497609035607913
10,-18,19,0.495175909287446
10,-18,20,0.428533997566001
10,-18,21,0.280430145264867
10,-18,22,0.0321926082752393
10,-18,23,0
10,-18,24,0
10,-18,25,0
10,-18,26,0
10,-18,27,0
10,-18,28,0
10,-18,29,0
10,-18,30,0
10,-17,-15,1.98935795850316e-13
10,-17,-14,9.93887367848965e-13
10,-17,-13,5.35523298028907e-12
10,-17,-12,2.96693132116176e-11
10,-17,-11,1.65764222259033e-10
10,-17,-10,9.25762173951418e-10
10,-17,-9,5.14812831824651e-09
10,-17,-8,2.84208143253582e-08
10,-17,-7,1.55722075193455e-07
10,-17,-6,8.4084723764439e-07
10,-17,-5,4.48124118184654e-06
10,-17,-4,2.35579930990033e-05
10,-17,-3,0.000122053917841533
10,-17,-2,0.000622411342543273
10,-17,-1,0.0031135986895601
10,-17,0,0.0150758424152966
10,-17,1,0.0666862321126151
10,-17,2,0.221001835233142
10,-17,3,0.417715072853233
10,-17,4,0.435810001996456
10,-17,5,0.48266924993003
10,-17,6,0.492164497780492
10,-17,7,0.509016381140492
10,-17,8,0.502453448514234
10,-17,9,0.500580885100225
10,-17,10,0.536996223913363
10,-17,11,0.548797597684398
10,-17,12,0.557525010147375
10,-17,13,0.494335924529885
10,-17,14,0.486231855888248
10,-17,15,0.457127425335677
10,-17,16,0.480697555737044
10,-17,17,0.505526133445078
10,-17,18,0.511995222675084
10,-17,19,0.475643631637589
10,-17,20,0.414116197717683
10,-17,21,0.234541109674559
10,-17,22,0.0968160229633575
10,-17,23,0
10,-17,24,0
10,-17,25,0
10,-17,26,0
10,-17,27,0
10,-17,28,0
10,-17,29,0
10,-17,30,0
10,-16,-15,3.20789209662885e-13
10,-16,-14,1.30883993896435e-12
10,-16,-13,6.42864634323615e-12
10,-16,-12,3.40609916781298e-11
10,-16,-11,1.85582920357988e-10
10,-16,-10,1.02061796744417e-09
10,-16,-9,5.62269575392639e-09
10,-16,-8,3.07615051411983e-08
10,-16,-7,1.66776783374736e-07
10,-16,-6,8.94510998298395e-07
10,-16,-5,4.74121609215829e-06
10,-16,-4,2.48067306363453e-05
10,-16,-3,0.000127982282048164
10,-16,-2,0.000650161571929639
10,-16,-1,0.00324102379040129
10,-16,0,0.0156389631157642
10,-16,1,0.0689019781919401
10,-16,2,0.227201527029411
10,-16,3,0.428367970601775
10,-16,4,0.448441871796485
10,-16,5,0.477798305001919
10,-16,6,0.509550627039328
10,-16,7,0.523700414335352
10,-16,8,0.517485911799478
10,-16,9,0.526929580836891
10,-16,10,0.545519868429224
10,-16,11,0.563345240498954
10,-16,12,0.54060608500951
10,-16,13,0.518903857902503
10,-16,14,0.482128562856592
10,-16,15,0.490384543894919
10,-16,16,0.506088802157314
10,-16,17,0.524778166940386
10,-16,18,0.52323937438448
10,-16,19,0.460396779144535
10,-16,20,0.425735123623368
10,-16,21,0.232886137294363
10,-16,22,0.1621107593229
10,-16,23,0
10,-16,24,0
10,-16,25,0
10,-16,26,0
10,-16,27,0
10,-16,28,0
10,-16,29,0
10,-16,30,0
10,-15,-15,7.41067287747357e-13
10,-15,-14,2.10618391594326e-12
10,-15,-13,8.45385938555869e-12
10,-15,-12,4.08379742080971e-11
10,-15,-11,2.12846437616234e-10
10,-15,-10,1.14336724307608e-09
10,-15,-9,6.18519164031041e-09
10,-15,-8,3.34140410378528e-08
10,-15,-7,1.79414589531093e-07
10,-15,-6,9.54969351864703e-07
10,-15,-5,5.02981330091888e-06
10,-15,-4,2.61744563893172e-05
10,-15,-3,0.000134399075499928
10,-15,-2,0.00067988268795067
10,-15,-1,0.00337619730603597
